2026-09-10 19:59:38,294 INFO    [MainThread] etl.pipeline_logger [PLOG-FILE] run log opened for dataset='BRANCH_1789045178.250419' -> logs\16_BRANCH_1789045178.250419.txt
2026-09-10 19:59:38,295 INFO    [MainThread] etl.module9_fusion [M9] MODIS tidak dikonfigurasi dataset=16, tidak diunduh
2026-09-10 19:59:38,295 INFO    [MainThread] etl.module8_gpm_download [M8] dataset_id=16 level=['RAW'] window=['24h'] granule_hari=1
2026-09-10 19:59:38,309 INFO    [MainThread] etl.pipeline_logger [PLOG] {"log_id": 68, "dataset_id": 16, "scene_id": "GPM_20240305", "module": "MODULE8_GPM_DOWNLOAD", "stage": "DOWNLOAD", "status": "COMPLETED", "message": "GPM 24h: selesai (1 hari)", "window": "24h", "days_aggregated": 1}
2026-09-10 19:59:38,316 INFO    [MainThread] etl.pipeline_logger [PLOG] {"log_id": 69, "dataset_id": 16, "scene_id": "GPM_20240305", "module": "MODULE8_GPM_DOWNLOAD", "stage": "DOWNLOAD_SUMMARY", "status": "COMPLETED", "message": "GPM selesai: 1/1 produk", "windows_ok": ["24h"], "windows_failed": [], "quality": "GOOD"}
2026-09-10 19:59:38,316 INFO    [MainThread] etl.module8_gpm_download [M8] selesai: 1/1 produk rainfall dibuat untuk dataset_id=16 tanggal=2024-03-05
2026-09-10 19:59:38,326 INFO    [MainThread] etl.metadata_manager [SCENE] Registered scene_id=10 pid=NASA_AUX_GPM_16_20240305 acq=2024-03-05T00:00:00+00:00
2026-09-10 19:59:38,336 INFO    [MainThread] etl.metadata_manager [JOB] Created job_id=16 scene=10 stage=DOWNLOAD attempt=1
2026-09-10 19:59:38,359 INFO    [MainThread] etl.metadata_manager [PRODUCT] Registered product_id=51 scene=10 band=RAIN_24H tier=BRONZE level=RAW source=GPM dataset=16 file=gpm_rain_24h_20240305.tif
2026-09-10 19:59:38,376 INFO    [MainThread] etl.pipeline_logger [PLOG] {"log_id": 70, "dataset_id": 16, "scene_id": "20240305", "module": "ORCHESTRATOR", "stage": "SCENE_PIPELINE", "status": "COMPLETED", "message": "Aux 20240305: 1 berkas ditulis", "date": "2024-03-05", "files_written": 1, "tiers": {"BRONZE": 1, "SILVER": 0, "GOLD": 0}}
2026-09-10 19:59:38,376 INFO    [MainThread] etl.pipeline_logger [PLOG-FILE] run log closed for dataset='BRANCH_1789045178.250419'
