2026-09-10 20:04:58,688 INFO    [MainThread] etl.pipeline_logger [PLOG-FILE] run log opened for dataset='PERSAT_1789045498.613738' -> logs\20_PERSAT_1789045498.613738.txt
2026-09-10 20:04:58,689 INFO    [MainThread] etl.module5_orchestrator [ORCH] job_id=9 start dataset='PERSAT_1789045498.613738' scenes=1 tiers=['RAW', 'BRONZE', 'SILVER', 'GOLD', 'FUSION'] log=logs\20_PERSAT_1789045498.613738.txt
2026-09-10 20:04:58,714 INFO    [Thread-72 (_download_worker)] etl.pipeline_logger [PLOG] {"log_id": 1, "dataset_id": 20, "scene_id": "S1A_IW_GRDH_TEST_20240305", "module": "MODULE1_DOWNLOAD", "stage": "DOWNLOAD", "status": "STARTED", "message": "Downloading scene from ESA server", "expected_size_mb": 1.0}
2026-09-10 20:04:58,741 INFO    [Thread-72 (_download_worker)] etl.pipeline_logger [PLOG] {"log_id": 2, "dataset_id": 20, "scene_id": "S1A_IW_GRDH_TEST_20240305", "module": "MODULE1_DOWNLOAD", "stage": "DOWNLOAD", "status": "COMPLETED", "message": "Scene downloaded successfully", "expected_size_mb": 1.0, "output_vv": "C:\\Users\\hakim\\AppData\\Local\\Temp\\pytest-of-hakim\\pytest-38\\test_produces_exactly_one_stac0\\datasets\\20_PERSAT_1789045498.613738\\20240305\\raw\\sentinel1\\S1A_IW_GRDH_TEST_20240305\\S1A_IW_GRDH_TEST_20240305_VV.tif", "output_vh": "C:\\Users\\hakim\\AppData\\Local\\Temp\\pytest-of-hakim\\pytest-38\\test_produces_exactly_one_stac0\\datasets\\20_PERSAT_1789045498.613738\\20240305\\raw\\sentinel1\\S1A_IW_GRDH_TEST_20240305\\S1A_IW_GRDH_TEST_20240305_VH.tif", "file_size_mb": 1.0, "checksum_md5": "00000000000000000000000000000000", "duration_seconds": 0.015, "memory_peak_mb": 180.75, "cpu_peak_percent": 0.0}
2026-09-10 20:04:58,757 INFO    [Thread-73 (_pipeline_worker)] etl.metadata_manager [SCENE] Registered scene_id=23 pid=S1A_IW_GRDH_TEST_20240305 acq=2024-03-05T22:50:00+00:00
2026-09-10 20:04:58,770 INFO    [Thread-73 (_pipeline_worker)] etl.metadata_manager [JOB] Created job_id=35 scene=23 stage=DOWNLOAD attempt=1
2026-09-10 20:04:58,774 INFO    [Thread-73 (_pipeline_worker)] etl.metadata_manager [JOB] job_id=35 -> RUNNING
2026-09-10 20:04:58,797 INFO    [Thread-73 (_pipeline_worker)] etl.metadata_manager [PRODUCT] Registered product_id=51 scene=23 band=VV tier=RAW level=RAW source=SENTINEL1 dataset=20 file=S1A_IW_GRDH_TEST_20240305_VV.tif
2026-09-10 20:04:58,817 INFO    [Thread-73 (_pipeline_worker)] etl.metadata_manager [PRODUCT] Registered product_id=52 scene=23 band=VH tier=RAW level=RAW source=SENTINEL1 dataset=20 file=S1A_IW_GRDH_TEST_20240305_VH.tif
2026-09-10 20:04:58,821 INFO    [Thread-73 (_pipeline_worker)] etl.metadata_manager [JOB] job_id=35 -> SUCCESS
2026-09-10 20:04:58,831 INFO    [Thread-73 (_pipeline_worker)] etl.metadata_manager [JOB] Created job_id=36 scene=23 stage=CROP attempt=1
2026-09-10 20:04:58,835 INFO    [Thread-73 (_pipeline_worker)] etl.metadata_manager [JOB] job_id=36 -> RUNNING
2026-09-10 20:04:58,840 INFO    [Thread-73 (_pipeline_worker)] etl.pipeline_logger [PLOG] {"log_id": 3, "dataset_id": 20, "scene_id": "S1A_IW_GRDH_TEST_20240305", "module": "MODULE1B_CALIBRATE", "stage": "CALIBRATE", "status": "STARTED", "message": "Applying radiometric calibration", "input_vv": "C:\\Users\\hakim\\AppData\\Local\\Temp\\pytest-of-hakim\\pytest-38\\test_produces_exactly_one_stac0\\datasets\\20_PERSAT_1789045498.613738\\20240305\\raw\\sentinel1\\S1A_IW_GRDH_TEST_20240305\\S1A_IW_GRDH_TEST_20240305_VV.tif", "input_vh": "C:\\Users\\hakim\\AppData\\Local\\Temp\\pytest-of-hakim\\pytest-38\\test_produces_exactly_one_stac0\\datasets\\20_PERSAT_1789045498.613738\\20240305\\raw\\sentinel1\\S1A_IW_GRDH_TEST_20240305\\S1A_IW_GRDH_TEST_20240305_VH.tif"}
2026-09-10 20:04:58,866 INFO    [Thread-73 (_pipeline_worker)] etl.pipeline_logger [PLOG] {"log_id": 4, "dataset_id": 20, "scene_id": "S1A_IW_GRDH_TEST_20240305", "module": "MODULE1B_CALIBRATE", "stage": "CALIBRATE", "status": "COMPLETED", "message": "CALIBRATE completed", "input_vv": "C:\\Users\\hakim\\AppData\\Local\\Temp\\pytest-of-hakim\\pytest-38\\test_produces_exactly_one_stac0\\datasets\\20_PERSAT_1789045498.613738\\20240305\\raw\\sentinel1\\S1A_IW_GRDH_TEST_20240305\\S1A_IW_GRDH_TEST_20240305_VV.tif", "input_vh": "C:\\Users\\hakim\\AppData\\Local\\Temp\\pytest-of-hakim\\pytest-38\\test_produces_exactly_one_stac0\\datasets\\20_PERSAT_1789045498.613738\\20240305\\raw\\sentinel1\\S1A_IW_GRDH_TEST_20240305\\S1A_IW_GRDH_TEST_20240305_VH.tif", "output_vv": "C:\\Users\\hakim\\AppData\\Local\\Temp\\pytest-of-hakim\\pytest-38\\test_produces_exactly_one_stac0\\datasets\\20_PERSAT_1789045498.613738\\_work\\S1A_IW_GRDH_TEST_20240305\\cal_VV.tif", "output_vh": "C:\\Users\\hakim\\AppData\\Local\\Temp\\pytest-of-hakim\\pytest-38\\test_produces_exactly_one_stac0\\datasets\\20_PERSAT_1789045498.613738\\_work\\S1A_IW_GRDH_TEST_20240305\\cal_VH.tif", "duration_seconds": 0.015, "memory_peak_mb": 181.17, "cpu_peak_percent": 0.0}
2026-09-10 20:04:58,872 INFO    [Thread-73 (_pipeline_worker)] etl.pipeline_logger [PLOG] {"log_id": 5, "dataset_id": 20, "scene_id": "S1A_IW_GRDH_TEST_20240305", "module": "MODULE2_CROP", "stage": "CROP", "status": "STARTED", "message": "Cropping to region boundaries", "bbox": [106.4, -6.7, 107.2, -5.9]}
2026-09-10 20:04:58,897 INFO    [Thread-73 (_pipeline_worker)] etl.pipeline_logger [PLOG] {"log_id": 6, "dataset_id": 20, "scene_id": "S1A_IW_GRDH_TEST_20240305", "module": "MODULE2_CROP", "stage": "CROP", "status": "COMPLETED", "message": "CROP completed", "bbox": [106.4, -6.7, 107.2, -5.9], "output_vv": "C:\\Users\\hakim\\AppData\\Local\\Temp\\pytest-of-hakim\\pytest-38\\test_produces_exactly_one_stac0\\datasets\\20_PERSAT_1789045498.613738\\20240305\\bronze\\sentinel1\\S1A_IW_GRDH_TEST_20240305\\S1A_IW_GRDH_TEST_20240305_VV_crop.tif", "output_vh": "C:\\Users\\hakim\\AppData\\Local\\Temp\\pytest-of-hakim\\pytest-38\\test_produces_exactly_one_stac0\\datasets\\20_PERSAT_1789045498.613738\\20240305\\bronze\\sentinel1\\S1A_IW_GRDH_TEST_20240305\\S1A_IW_GRDH_TEST_20240305_VH_crop.tif", "file_size_mb": 0.006, "duration_seconds": 0.015, "memory_peak_mb": 181.19, "cpu_peak_percent": 0.0}
2026-09-10 20:04:58,921 INFO    [Thread-73 (_pipeline_worker)] etl.metadata_manager [PRODUCT] Registered product_id=53 scene=23 band=VV tier=BRONZE level=RAW source=SENTINEL1 dataset=20 file=S1A_IW_GRDH_TEST_20240305_VV_crop.tif
2026-09-10 20:04:58,942 INFO    [Thread-73 (_pipeline_worker)] etl.metadata_manager [PRODUCT] Registered product_id=54 scene=23 band=VH tier=BRONZE level=RAW source=SENTINEL1 dataset=20 file=S1A_IW_GRDH_TEST_20240305_VH_crop.tif
